Date,Time,Polinka,Parking Wrońskiego,D20 - D21,GEO LO1 Geocentrum,Architecture
2024-12-15,10:20,39,128,32,260,84
2024-12-15,10:30,39,129,32,261,84
2024-12-15,10:40,39,129,31,261,84
2024-12-15,10:50,39,131,27,261,84
2024-12-15,11:00,35,127,23,260,84
2024-12-15,11:10,35,124,17,260,84
2024-12-15,11:30,34,122,15,259,84
2024-12-15,11:40,35,124,13,259,84
2024-12-15,11:50,34,121,12,259,84
2024-12-15,12:00,33,118,12,259,84
2024-12-15,12:10,33,117,11,259,84
2024-12-15,12:20,33,117,13,259,84
2024-12-15,12:30,33,118,14,259,84
2024-12-15,12:40,34,117,16,260,84
2024-12-15,12:50,36,116,14,259,84
2024-12-15,13:00,37,116,17,259,84
2024-12-15,13:10,36,116,17,259,84
2024-12-15,13:20,34,117,17,258,84
2024-12-15,13:30,34,117,16,258,84
2024-12-15,13:40,34,117,16,258,84
2024-12-15,13:50,34,115,17,258,84
2024-12-15,14:00,34,117,18,257,84
2024-12-15,14:10,34,122,23,257,84
2024-12-15,14:20,37,124,25,257,84
2024-12-15,14:30,37,125,25,257,84
2024-12-15,14:40,39,130,25,257,84
2024-12-15,14:50,39,132,26,257,84
2024-12-15,15:00,41,133,27,257,84
2024-12-15,15:10,41,131,25,257,84
2024-12-15,15:20,41,128,25,256,84
2024-12-15,15:30,39,128,24,256,84
2024-12-15,15:50,38,127,23,256,84
2024-12-15,16:00,39,129,24,257,84
2024-12-15,16:10,39,130,26,257,84
2024-12-15,16:20,39,128,26,257,84
2024-12-15,16:30,40,128,27,258,84
2024-12-15,16:40,40,129,26,258,84
2024-12-15,16:50,39,128,25,258,84
2024-12-15,17:00,40,127,26,257,84
2024-12-15,17:10,39,131,24,256,84
2024-12-15,17:20,40,135,27,259,84
2024-12-15,17:30,41,137,27,259,84
2024-12-15,17:40,41,140,27,260,84
2024-12-15,17:50,41,139,30,259,84
2024-12-15,18:00,47,137,30,260,84
2024-12-15,18:10,53,136,31,261,84
2024-12-15,18:20,53,136,28,261,84
2024-12-15,18:30,53,136,27,261,84
2024-12-15,18:40,53,143,32,261,84
2024-12-15,18:50,56,152,37,263,84
2024-12-15,19:00,56,150,37,264,84
2024-12-15,19:10,56,153,38,264,84
2024-12-15,19:20,57,153,38,264,84
2024-12-15,19:30,57,153,38,264,84
2024-12-15,19:40,57,155,39,264,84
2024-12-15,19:50,59,163,42,264,84
2024-12-15,20:00,61,168,44,265,84
2024-12-15,20:10,61,169,45,264,84
2024-12-15,20:20,61,170,45,264,84
2024-12-15,20:30,61,173,49,264,84
2024-12-15,20:40,61,181,56,264,84
2024-12-15,20:50,61,183,59,264,84
2024-12-16,05:00,30,192,68,267,84
2024-12-16,05:10,30,188,68,267,84
2024-12-16,05:20,30,188,67,267,84
2024-12-16,05:30,29,188,67,267,84
2024-12-16,05:40,29,183,66,266,84
2024-12-16,05:50,28,183,62,264,84
2024-12-16,06:00,26,180,58,264,84
2024-12-16,06:10,24,179,54,264,84
2024-12-16,06:20,23,179,48,263,84
2024-12-16,06:30,22,173,40,263,84
2024-12-16,06:40,22,163,31,262,84
2024-12-16,06:50,18,150,18,255,84
2024-12-16,07:00,9,118,10,251,83
2024-12-16,07:10,0,86,2,242,81
2024-12-16,07:20,0,52,0,235,78
2024-12-16,07:30,0,17,0,224,73
2024-12-16,07:40,0,4,0,216,69
2024-12-16,07:50,0,0,0,203,65
2024-12-16,08:00,0,0,0,195,62
2024-12-16,08:10,0,0,0,185,57
2024-12-16,08:40,0,0,0,161,42
2024-12-16,08:50,0,0,0,148,39
2024-12-16,09:10,0,0,0,120,31
2024-12-16,09:30,0,0,0,101,28
2024-12-16,09:40,0,0,0,103,28
2024-12-16,10:30,0,0,0,87,30
2024-12-16,10:50,0,0,1,73,28
2024-12-16,11:00,1,0,0,63,27
2024-12-16,11:10,0,0,0,58,27
2024-12-16,11:20,0,0,0,49,28
2024-12-16,11:30,0,0,1,50,27
2024-12-16,11:50,0,0,1,50,30
2024-12-16,12:30,0,0,0,43,28
2024-12-16,13:00,1,0,1,39,29
2024-12-16,13:10,0,0,0,41,28
2024-12-16,13:20,0,0,2,46,31
2024-12-16,13:40,0,2,3,46,28
2024-12-16,13:50,0,5,4,49,28
2024-12-16,14:00,0,6,5,54,29
2024-12-16,14:20,1,3,5,64,35
2024-12-16,15:00,4,29,12,87,38
2024-12-16,15:10,3,45,16,104,37
2024-12-16,15:20,2,53,10,110,38
2024-12-16,15:30,3,56,14,127,38
2024-12-16,15:40,2,62,18,132,42
2024-12-16,15:50,3,67,18,142,41
2024-12-16,16:00,5,73,22,148,42
2024-12-16,16:20,4,80,27,155,49
2024-12-16,16:30,4,80,29,159,50
2024-12-16,16:40,3,76,28,169,52
2024-12-16,16:50,2,77,29,172,53
2024-12-16,17:00,3,88,25,177,54
2024-12-16,17:10,3,95,24,183,58
2024-12-16,17:20,2,94,25,187,63
2024-12-16,17:30,2,97,24,190,65
2024-12-16,17:40,2,97,27,193,67
2024-12-16,17:50,2,98,26,196,66
2024-12-16,18:00,3,98,29,198,68
2024-12-16,18:20,1,102,31,201,70
2024-12-16,18:30,0,110,28,205,73
2024-12-16,18:40,2,115,31,206,74
2024-12-16,18:50,5,124,30,210,76
2024-12-16,19:00,6,124,31,215,76
2024-12-16,19:20,6,130,33,219,80
2024-12-16,19:30,6,134,34,220,80
2024-12-16,19:40,6,137,34,222,80
2024-12-16,19:50,6,139,34,222,81
2024-12-16,20:00,6,141,35,222,81
2024-12-16,20:10,6,143,36,223,82
2024-12-16,20:20,6,148,36,225,83
2024-12-16,20:30,6,155,41,228,83
2024-12-16,20:50,9,162,51,232,83
2024-12-17,05:00,54,192,68,267,84
2024-12-17,05:30,53,192,67,267,84
2024-12-17,05:40,53,189,66,266,84
2024-12-17,06:00,49,184,57,264,84
2024-12-17,06:10,48,184,52,263,84
2024-12-17,06:20,48,178,49,262,84
2024-12-17,06:40,44,168,33,261,84
2024-12-17,06:50,40,158,21,258,84
2024-12-17,07:00,33,129,0,257,84
2024-12-17,07:10,17,96,0,252,82
2024-12-17,07:20,6,66,0,244,81
2024-12-17,07:30,0,32,0,230,77
2024-12-17,07:40,0,10,0,223,74
2024-12-17,08:00,0,0,0,215,64
2024-12-17,08:10,0,3,0,203,62
2024-12-17,08:20,0,1,0,198,58
2024-12-17,08:30,0,0,0,188,56
2024-12-17,08:40,0,0,0,174,54
2024-12-17,08:50,0,1,0,159,54
2024-12-17,09:00,0,0,0,143,50
2024-12-17,09:10,0,3,0,129,48
2024-12-17,09:20,0,2,0,121,46
2024-12-17,09:30,0,0,0,123,45
2024-12-17,09:40,0,0,0,118,45
2024-12-17,09:50,1,0,0,112,45
2024-12-17,10:00,0,0,0,111,43
2024-12-17,10:10,0,0,0,108,42
2024-12-17,10:30,0,0,0,99,41
2024-12-17,10:40,0,0,0,95,40
2024-12-17,11:00,0,0,0,84,37
2024-12-17,11:10,0,0,0,68,38
2024-12-17,11:40,0,2,0,65,34
2024-12-17,11:50,0,0,0,64,35
2024-12-17,12:10,0,5,0,66,33
2024-12-17,12:20,3,1,0,65,30
2024-12-17,12:30,2,1,0,63,30
2024-12-17,12:50,0,0,0,61,28
2024-12-17,13:00,0,1,0,62,29
2024-12-17,13:10,1,0,1,67,28
2024-12-17,13:20,0,4,1,73,29
2024-12-17,13:30,0,5,1,75,31
2024-12-17,13:50,0,2,0,81,31
2024-12-17,14:10,3,9,8,90,31
2024-12-17,14:20,3,19,11,99,33
2024-12-17,14:40,3,24,11,99,39
2024-12-17,15:00,3,45,16,123,42
2024-12-17,15:20,9,82,14,135,43
2024-12-17,15:30,12,93,18,142,48
2024-12-17,15:40,11,105,22,149,54
2024-12-17,15:50,13,106,20,157,56
2024-12-17,16:00,14,112,20,159,55
2024-12-17,16:10,14,114,20,161,55
